scientific_name,common_name,city,state,height_M,tree_count,avg_mean
Fraxinus pennsylvanica,,Denver,Colorado,,25736,0.0
Prunus,,Portland,Oregon,,25635,0.0
Pistacia chinensis,,San Jose,California,,24316,77.40909022544018
Gleditsia triacanthos,,Denver,Colorado,,24178,0.0
Syagrus romanzoffianum,,San Diego,California,,22624,0.0
Quercus virginiana,,New Orleans,Louisiana,,21775,0.0
Lagerstroemia indica,,San Jose,California,,21636,51.963836467104656
Fraxinus pennsylvanica,,Sioux Falls,South Dakota,,21452,142.2793242565897
Other,,Huntington Beach,California,,21405,2841.6790408309407
Other,,Grand Rapids,Michigan,,21285,0.0
Ginkgo biloba,,New York,New York,,21024,0.0
Other,,Louisville,Kentucky,,20984,0.0
Acer platanoides,,Madison,Wisconsin,,20918,0.0
Other,,Rochester,New York,,20769,0.0
Acer platanoides,,Grand Rapids,Michigan,,20433,0.0
Acer platanoides,,Minneapolis,Minnesota,,20191,0.0
Other,,Madison,Wisconsin,,19791,0.0
Styphnolobium japonicum,,New York,New York,,19338,0.0
Other,,Atlanta,Georgia,,19330,0.0
Acer platanoides,,Portland,Oregon,,19209,0.0
Platanus acerifolia,,Los Angeles,California,,17477,0.0
Fraxinus pennsylvanica,,Madison,Wisconsin,,17377,0.0
Quercus virginiana,,Orlando,Florida,,17126,0.0
Other,,Pittsburgh,Pennsylvania,,17098,8676.37585089828
Other,,Aurora,Colorado,,16737,0.0
Ulmus americana,,Minneapolis,Minnesota,,16232,0.0
Cinnamomum camphora,,Los Angeles,California,,15850,0.0
Acer rubrum,,Portland,Oregon,,15475,0.0
Acer saccharum,,Minneapolis,Minnesota,,15362,0.0
Washingtonia robusta,,San Diego,California,,15129,0.0
Lagerstroemia indica,,Orlando,Florida,,14988,0.0
Liquidambar styraciflua,,San Jose,California,,14644,130.4459607067186
Other,,Sioux Falls,South Dakota,,14210,8592.646357689326
Platanus acerifolia,,Sacramento,California,,14111,0.0
Cupressus sempervirens,,Los Angeles,California,,14078,0.0
Ulmus parvifolia,,Los Angeles,California,,13920,0.0
Other,,Oakland,California,,13818,0.0
Jacaranda acutifolia,,Los Angeles,California,,13760,0.0
Cupaniopsis anacardioides,,San Diego,California,,13608,0.0
Acer rubrum,,Overland Park,Kansas,,13289,0.0
Eucalyptus,,San Diego,California,,13269,0.0
Acer platanoides,,Buffalo,New York,,13265,0.0
Celtis occidentalis,,Houston,Texas,,13013,0.0
Tilia cordata,,Denver,Colorado,,12961,0.0
Acer rubrum,,Baltimore,Maryland,,12910,90.34330428505035
Lagerstroemia indica,,Rancho Cucamonga,California,,12889,0.0
Tilia americana,,Minneapolis,Minnesota,,12745,0.0
Celtis occidentalis,,Minneapolis,Minnesota,,12736,0.0
Acer saccharinum,,Denver,Colorado,,12735,0.0
Acer rubrum,,Washington DC,District of Columbia,,12711,0.0
Tilia cordata,,Minneapolis,Minnesota,,12687,0.0
Pinus,,San Diego,California,,12677,0.0
Gleditsia triacanthos,,Minneapolis,Minnesota,,12676,0.0
Unassigned,,Minneapolis,Minnesota,,12042,0.0
Platanus acerifolia,,San Francisco,California,,11925,0.0
Fraxinus americana,,Denver,Colorado,,11922,0.0
Pyrus,,Portland,Oregon,,11700,0.0
Pistacia chinensis,,Stockton,California,,11392,0.0
Other,,Las Vegas,Nevada,,11265,0.0
Quercus nigra,,Houston,Texas,,10804,0.0
Other,,Detroit,Michigan,,10758,0.0
Ulmus pumila,,Denver,Colorado,,10671,0.0
Other,,Overland Park,Kansas,,10641,0.0
Acer,,Portland,Oregon,,10635,0.0
Quercus laurifolia,,Orlando,Florida,,10620,0.0
Gleditsia triacanthos,,Aurora,Colorado,,10428,0.0
Liquidambar styraciflua,,San Diego,California,,10323,0.0
Quercus phellos,,Washington DC,District of Columbia,,9981,0.0
Jacaranda acutifolia,,San Diego,California,,9831,0.0
Acer freemanii,,Denver,Colorado,,9780,0.0
Other,,Orlando,Florida,,9739,0.0
Pyrus calleryana,,San Jose,California,,9631,84.62741667602705
Triadica sebifera,,Houston,Texas,,9561,0.0
Fraxinus pennsylvanica,,Columbus,Ohio,,9402,0.0
Acer platanoides,,Worcester,Massachusetts,,9364,0.0
Fraxinus,,Portland,Oregon,,9293,0.0
Pyrus calleryana,,Columbus,Ohio,,9245,0.0
Malus sylvestris,,Denver,Colorado,,9240,0.0
Tilia cordata,,Buffalo,New York,,9156,0.0
Celtis occidentalis,,Denver,Colorado,,9060,0.0
Ulmus americana,,Washington DC,District of Columbia,,9014,0.0
Quercus palustris,,Washington DC,District of Columbia,,8904,0.0
Pinus taeda,,Houston,Texas,,8893,0.0
Metrosideros excelsa,,San Francisco,California,,8681,0.0
Cornus,,Portland,Oregon,,8667,0.0
Acer rubrum,,Columbus,Ohio,,8657,0.0
Acer rubrum,,St. Louis,Missouri,,8575,0.0
Tristaniopsis laurina,,San Francisco,California,,8509,0.0
Other,,Cape Coral,Florida,,8398,0.0
Prunus cerasifera,,Seattle,Washington,,8244,0.0
Lophostemon confertus,,San Francisco,California,,8236,0.0
Acer platanoides,,Denver,Colorado,,7945,0.0
Other,,Providence,Rhode Island,,7803,0.0
Magnolia grandiflora,,San Francisco,California,,7793,0.0
Fraxinus pennsylvanica,,St. Louis,Missouri,,7761,0.0
Zelkova serrata,,San Jose,California,,7669,125.30394143006811
Fraxinus americana,,Overland Park,Kansas,,7654,0.0
Lophostemon confertus,,San Diego,California,,7591,0.0
Platanus acerifolia,,Stockton,California,,7552,0.0
Acer rubrum,,Seattle,Washington,,7543,0.0
Acer saccharum,,Columbus,Ohio,,7512,0.0
Lagerstroemia indica,,Stockton,California,,7354,0.0
Platanus racemosa,,San Diego,California,,7330,0.0
Quercus,,Portland,Oregon,,7281,0.0
Pyrus calleryana,,St. Louis,Missouri,,7210,0.0
Cupressus sempervirens,,San Jose,California,,7208,87.77340006107718
Celtis sinensis,,Stockton,California,,7179,0.0
Prunus cerasifera,,San Francisco,California,,7113,0.0
Gleditsia triacanthos,,Columbus,Ohio,,7090,0.0
Magnolia grandiflora,,San Jose,California,,7080,82.85720618145845
Acer saccharum,,Indianapolis,Indiana,,7042,0.0
Prunus cerasifera,,San Jose,California,,6999,60.59967099413867
Malus,,Columbus,Ohio,,6924,0.0
Pittosporum undulatum,,San Francisco,California,,6922,0.0
Malus,,Portland,Oregon,,6779,0.0
Zelkova serrata,,Baltimore,Maryland,,6766,82.62518661543008
Prunus serrulata,,San Francisco,California,,6756,0.0
Fraxinus americana,,Columbus,Ohio,,6742,0.0
Other,,Garden Grove,California,,6734,21175.65877678871
Ficus microcarpa,,San Francisco,California,,6650,0.0
Sabal palmetto,,Cape Coral,Florida,,6632,0.0
Quercus palustris,,St. Louis,Missouri,,6503,0.0
Zelkova serrata,,Washington DC,District of Columbia,,6343,0.0
Betula,,Portland,Oregon,,6338,0.0
Gleditsia triacanthos,,Rochester,New York,,6307,0.0
Acer platanoides,,Seattle,Washington,,6304,0.0
Podocarpus gracilior,,San Diego,California,,6161,0.0
Carya illinoinensis,,Houston,Texas,,6129,0.0
Tilia,,Aurora,Colorado,,6107,0.0
Other,,Arlington,Texas,,6099,0.0
Platanus acerifolia,,Baltimore,Maryland,,6056,109.40377044253634
Other,,Durham,North Carolina,,5954,928.694123134591
Celtis occidentalis,,Indianapolis,Indiana,,5940,0.0
Tilia cordata,,Baltimore,Maryland,,5932,99.7077805731625
Pinus brutia,,Las Vegas,Nevada,,5888,0.0
Quercus rubra,,Washington DC,District of Columbia,,5852,0.0
Prunus,,Baltimore,Maryland,,5817,49.03944925563005
Gleditsia triacanthos,,Grand Rapids,Michigan,,5805,0.0
Malus,,Indianapolis,Indiana,,5803,0.0
Other,,Colorado Springs,Colorado,,5796,0.0
Platanus acerifolia,,Washington DC,District of Columbia,,5745,0.0
Quercus virginiana,,Cape Coral,Florida,,5727,0.0
Fraxinus americana,,Indianapolis,Indiana,,5717,0.0
Acer platanoides,,Sioux Falls,South Dakota,,5704,111.44215126928472
Platanus acerifolia,,Rancho Cucamonga,California,,5698,0.0
Acer freemanii,,Columbus,Ohio,,5664,0.0
Fraxinus angustifolia,,San Jose,California,,5626,111.73533616082547
Arbutus,,San Francisco,California,,5568,0.0
Eucalyptus globulus,,Rancho Cucamonga,California,,5549,0.0
Other,,Tampa,Florida,,5548,10813.027994977752
Washingtonia robusta,,Houston,Texas,,5466,0.0
Fraxinus pennsylvanica,,Aurora,Colorado,,5465,0.0
Taxodium distichum,,New Orleans,Louisiana,,5409,0.0
Acer saccharum,,Washington DC,District of Columbia,,5408,0.0
Quercus virginiana,,Tampa,Florida,,5379,104.22496422693266
Pyrus calleryana,,Stockton,California,,5296,0.0
Magnolia grandiflora,,Anaheim,California,,5266,0.0
Malus,,Seattle,Washington,,5206,0.0
Magnolia grandiflora,,Rancho Cucamonga,California,,5016,0.0
Other,,Plano,Texas,,4989,0.0
Tilia,,Madison,Wisconsin,,4969,0.0
Prunus L.,,Seattle,Washington,,4948,0.0
Pyrus calleryana,,Rancho Cucamonga,California,,4941,0.0
Acer freemanii,,Sioux Falls,South Dakota,,4933,93.01743392661666
Fraxinus velutina,,Stockton,California,,4879,0.0
Fraxinus velutina,,Houston,Texas,,4829,0.0
Pyrus calleryana,,Baltimore,Maryland,,4747,94.43317728249421
Acer platanoides,,Aurora,Colorado,,4745,0.0
Ginkgo biloba,,Washington DC,District of Columbia,,4731,0.0
Acer saccharinum,,Buffalo,New York,,4725,0.0
Syagrus romanzoffianum,,Huntington Beach,California,,4681,46.38102691732536
Lagerstroemia indica,,Ontario,California,,4630,0.0
Pistacia chinensis,,Sacramento,California,,4580,0.0
Pinus canariensis,,Irvine,California,,4578,0.0
Acer palmatum,,Seattle,Washington,,4577,0.0
Fraxinus americana,,St. Louis,Missouri,,4557,0.0
Acer platanoides,,Columbus,Ohio,,4549,0.0
Acer rubrum,,Grand Rapids,Michigan,,4523,0.0
Other,,Knoxville,Tennessee,,4495,0.0
Fraxinus velutina,,Las Vegas,Nevada,,4480,0.0
Pyrus calleryana,,Seattle,Washington,,4467,0.0
Liquidambar styraciflua,,Ontario,California,,4392,0.0
Washingtonia robusta,,Anaheim,California,,4379,0.0
Acer saccharinum,,Sioux Falls,South Dakota,,4327,179.71830390570835
Lagerstroemia indica,,Washington DC,District of Columbia,,4325,0.0
Magnolia grandiflora,,Houston,Texas,,4297,0.0
Pyrus calleryana,,Sacramento,California,,4285,0.0
Acer rubrum,,Minneapolis,Minnesota,,4196,0.0
Ilex attenuata,,New Orleans,Louisiana,,4186,0.0
Acer saccharum,,St. Louis,Missouri,,4172,0.0
Lagerstroemia indica,,Sacramento,California,,4146,0.0
Liquidambar styraciflua,,Stockton,California,,4110,0.0
Tilia cordata,,Columbus,Ohio,,4102,0.0
Ulmus parvifolia,,Sacramento,California,,4047,0.0
Washingtonia robusta,,Huntington Beach,California,,4037,123.11480099083478
Other,,Oklahoma City,Oklahoma,,4002,7276.117748286981
Ulmus pumila,,Indianapolis,Indiana,,3977,0.0
Acer saccharum,,Grand Rapids,Michigan,,3954,0.0
Eucalyptus globulus,,Irvine,California,,3948,0.0
Prunus,,Seattle,Washington,,3937,0.0
Cinnamomum camphora,,Ontario,California,,3900,0.0
Lagerstroemia indica,,Huntington Beach,California,,3896,16.681252453798766
Tilia cordata,,Madison,Wisconsin,,3894,0.0
Zelkova serrata,,Sacramento,California,,3861,0.0
Eucalyptus maculata,,Irvine,California,,3830,0.0
Tristaniopsis Brongn.,,Irvine,California,,3810,0.0
Platanus acerifolia,,Oakland,California,,3788,0.0
Lagerstroemia indica,,Anaheim,California,,3771,0.0
Magnolia grandiflora,,Stockton,California,,3762,0.0
Acer truncatum,,Seattle,Washington,,3750,0.0
Liquidambar styraciflua,,Rancho Cucamonga,California,,3727,0.0
Acer platanoides,,Baltimore,Maryland,,3717,99.56912484261501
Acer platanoides,,Pittsburgh,Pennsylvania,,3715,89.68809385486917
Pinus,,Rancho Cucamonga,California,,3702,0.0
Quercus lobata,,Sacramento,California,,3693,0.0
Tilia cordata,,St. Louis,Missouri,,3682,0.0
Cercis canadensis,,Atlanta,Georgia,,3678,0.0
Brachychiton populneus,,Rancho Cucamonga,California,,3658,0.0
Crataegus laevigata,,Seattle,Washington,,3645,0.0
Ulmus crassifolia,,Plano,Texas,,3641,0.0
Other,,Honolulu,Hawaii,,3529,12947.531478876794
Magnolia grandiflora,,New Orleans,Louisiana,,3471,0.0
Other,,Milwaukee,Wisconsin,,3446,0.0
Acer saccharinum,,Aurora,Colorado,,3433,0.0
Acer rubrum,,Pittsburgh,Pennsylvania,,3422,80.17078674860988
Quercus palustris,,Overland Park,Kansas,,3419,0.0
Gleditsia triacanthos,,Madison,Wisconsin,,3390,0.0
Zelkova serrata,,Stockton,California,,3379,0.0
Pinus brutia,,Irvine,California,,3339,0.0
Tilia cordata,,Rochester,New York,,3329,0.0
Platanus acerifolia,,Ontario,California,,3328,0.0
Liquidambar styraciflua,,Oakland,California,,3312,0.0
Pinus canariensis,,Ontario,California,,3307,0.0
Pinus elliottii,,Cape Coral,Florida,,3298,0.0
Acer platanoides,,Indianapolis,Indiana,,3298,0.0
Gleditsia triacanthos,,Baltimore,Maryland,,3289,66.94749034965035
Celtis occidentalis,,Plano,Texas,,3279,0.0
Quercus geminata,,Tampa,Florida,,3248,122.11474139356517
Platanus acerifolia,,Pittsburgh,Pennsylvania,,3238,122.57772346476249
Pistacia chinensis,,Rancho Cucamonga,California,,3213,0.0
Pinus strobus,,Indianapolis,Indiana,,3148,0.0
Acer rubrum,,Indianapolis,Indiana,,3135,0.0
Acer saccharinum,,St. Louis,Missouri,,3115,0.0
Morus,,Indianapolis,Indiana,,3107,0.0
Lagerstroemia,,Durham,North Carolina,,3103,21.721423448275864
Pinus elliottii,,New Orleans,Louisiana,,3098,0.0
Tilia cordata,,Sioux Falls,South Dakota,,3097,123.80324424927348
Other,,Greensboro,North Carolina,,3057,719.0258550311455
Acer platanoides,,Providence,Rhode Island,,3054,0.0
Quercus phellos,,Baltimore,Maryland,,3036,85.2089044795784
Tilia cordata,,Grand Rapids,Michigan,,3033,0.0
Gleditsia triacanthos,,St. Louis,Missouri,,3013,0.0
Platanus occidentalis,,Grand Rapids,Michigan,,2977,0.0
Fraxinus americana,,Madison,Wisconsin,,2977,0.0
Pinus halepensis,,Irvine,California,,2973,0.0
Platanus acerifolia,,Rochester,New York,,2970,0.0
Pyrus calleryana,,Pittsburgh,Pennsylvania,,2969,78.06917958221025
Other,,New Berlin,Wisconsin,,2938,0.0
Sequoia sempervirens,,Stockton,California,,2936,0.0
Tilia americana,,Madison,Wisconsin,,2931,0.0
Prunus L.,,Oakland,California,,2930,0.0
Sequoia sempervirens,,Sacramento,California,,2909,0.0
Platanus racemosa,,Irvine,California,,2887,0.0
Cercis canadensis,,St. Louis,Missouri,,2886,0.0
Sabal palmetto,,Orlando,Florida,,2855,0.0
Lagerstroemia indica,,Tampa,Florida,,2851,48.326576742514966
Quercus rubra,,Baltimore,Maryland,,2849,112.07483022815022
Fraxinus velutina,,Sacramento,California,,2842,0.0
Fraxinus pennsylvanica,,Indianapolis,Indiana,,2810,0.0
Pyrus calleryana,,Ontario,California,,2793,0.0
Pyrus calleryana,,Providence,Rhode Island,,2792,0.0
Quercus phellos,,Durham,North Carolina,,2777,47.572179999999996
Malus,,Buffalo,New York,,2731,0.0
Pyrus calleryana,,Oakland,California,,2683,0.0
Celtis occidentalis,,Madison,Wisconsin,,2667,0.0
Ulmus parvifolia,,Orlando,Florida,,2609,0.0
Malus,,Madison,Wisconsin,,2608,0.0
Acer rubrum,,Buffalo,New York,,2601,0.0
Quercus rubra,,Plano,Texas,,2598,0.0
Lagerstroemia,,Atlanta,Georgia,,2581,0.0
Eucalyptus camaldulensis,,Huntington Beach,California,,2574,9.432096348096348
Cinnamomum camphora,,Anaheim,California,,2567,0.0
Acer saccharinum,,Grand Rapids,Michigan,,2554,0.0
Eucalyptus,,Irvine,California,,2503,0.0
Fraxinus pennsylvanica,,Rochester,New York,,2499,0.0
Celtis occidentalis,,Aurora,Colorado,,2493,0.0
Tilia cordata,,Pittsburgh,Pennsylvania,,2413,101.55052409147609
Syringa reticulata,,Buffalo,New York,,2373,0.0
Acer campestre,,Buffalo,New York,,2370,0.0
Lagerstroemia indica,,Garden Grove,California,,2358,79.52349881255302
Pinus canariensis,,Rancho Cucamonga,California,,2355,0.0
Gleditsia triacanthos,,Buffalo,New York,,2347,0.0
Gleditsia triacanthos,,Sioux Falls,South Dakota,,2332,123.7616697941681
Pinus canariensis,,Anaheim,California,,2317,0.0
Other,,Watertown,Wisconsin,,2303,0.0
Acer freemanii,,Madison,Wisconsin,,2236,0.0
Koelreuteria bipinnata,,Anaheim,California,,2227,0.0
Quercus rubra,,Rochester,New York,,2178,0.0
Fraxinus,,Oakland,California,,2161,0.0
Gleditsia triacanthos,,Pittsburgh,Pennsylvania,,2120,77.03783735849056
Syagrus romanzoffiana,,Ontario,California,,2109,0.0
Jacaranda mimosifolia,,Irvine,California,,2063,0.0
Fraxinus pennsylvanica,,Grand Rapids,Michigan,,2057,0.0
Gleditsia triacanthos,,Providence,Rhode Island,,2050,0.0
Pyrus calleryana,,New Orleans,Louisiana,,2043,0.0
Acer rubrum,,Rochester,New York,,1996,0.0
Liquidambar styraciflua,,Overland Park,Kansas,,1983,0.0
Sabal palmetto,,New Orleans,Louisiana,,1979,0.0
Other,,Fresno,California,,1978,0.0
Lagerstroemia indica,,Oakland,California,,1953,0.0
Magnolia grandiflora,,Orlando,Florida,,1952,0.0
Liquidambar styraciflua,,Sacramento,California,,1933,0.0
Fraxinus pennsylvanica,,Overland Park,Kansas,,1929,0.0
Pinus ponderosa,,Colorado Springs,Colorado,,1924,0.0
Quercus virginiana,,Plano,Texas,,1906,0.0
Platanus acerifolia,,Buffalo,New York,,1897,0.0
Ulmus parvifolia,,New Orleans,Louisiana,,1877,0.0
Platanus acerifolia,,Providence,Rhode Island,,1867,0.0
Fraxinus pennsylvanica,,Colorado Springs,Colorado,,1844,0.0
Washingtonia robusta,,Las Vegas,Nevada,,1844,0.0
Acer rubrum,,Orlando,Florida,,1814,0.0
Acer saccharum,,Louisville,Kentucky,,1810,0.0
Other,,Worcester,Massachusetts,,1804,0.0
Magnolia virginiana,,New Orleans,Louisiana,,1795,0.0
Liquidambar styraciflua,,Irvine,California,,1773,0.0
Acer buergerianum,,Atlanta,Georgia,,1742,0.0
Salix,,Detroit,Michigan,,1735,0.0
Taxodium distichum,,Cape Coral,Florida,,1724,0.0
Fraxinus pennsylvanica,,Providence,Rhode Island,,1714,0.0
Syagrus romanzoffianum,,Anaheim,California,,1706,0.0
Ilex,,Orlando,Florida,,1693,0.0
Quercus palustris,,Louisville,Kentucky,,1678,0.0
Ulmus carpinifolia,,Buffalo,New York,,1677,0.0
Jacaranda mimosifolia,,Anaheim,California,,1676,0.0
Quercus palustris,,Pittsburgh,Pennsylvania,,1672,98.90176859543818
Tilia americana,,Aurora,Colorado,,1668,0.0
Archontophoenix cunninghamiana,,Huntington Beach,California,,1665,6.370543975975976
Other,,Kailua,Hawaii,,1664,8150.172042922342
Pyrus calleryana,,Grand Rapids,Michigan,,1662,0.0
Lophostemon confertus,,Garden Grove,California,,1643,112.97232075471699
Lagerstroemia indica,,Atlanta,Georgia,,1612,0.0
Lophostemon confertus,,Anaheim,California,,1609,0.0
Celtis occidentalis,,Sioux Falls,South Dakota,,1600,132.3982982
Taxodium distichum,,Plano,Texas,,1598,0.0
Washingtonia robusta,,Ontario,California,,1584,0.0
Zelkova serrata,,Rochester,New York,,1581,0.0
Ulmus crassifolia,,Arlington,Texas,,1570,0.0
Acer saccharum,,Rochester,New York,,1545,0.0
Acer rubrum,,Louisville,Kentucky,,1538,0.0
Malus,,Aurora,Colorado,,1536,0.0
Pinus nigra,,Aurora,Colorado,,1517,0.0
Cercis canadensis,,Huntington Beach,California,,1502,12.223422529960054
Acer campestre,,Rochester,New York,,1497,0.0
Liquidambar styraciflua,,Anaheim,California,,1491,0.0
Pyrus calleryana,,Aurora,Colorado,,1490,0.0
Acacia stenophylla,,Las Vegas,Nevada,,1483,0.0
Vitex agnus-castus,,Las Vegas,Nevada,,1478,0.0
Lophostemon confertus,,Huntington Beach,California,,1453,15.593586400550585
Cupaniopsis anacardioides,,Garden Grove,California,,1438,111.55540458970793
Cupaniopsis anacardioides,,Huntington Beach,California,,1431,23.676614032145356
Pyrus kawakamii,,Oakland,California,,1427,0.0
Quercus alba,,Grand Rapids,Michigan,,1419,0.0
Malus,,Overland Park,Kansas,,1418,0.0
Gleditsia triacanthos,,Milwaukee,Wisconsin,,1411,0.0
Acer rubrum,,Providence,Rhode Island,,1408,0.0
Fraxinus pennsylvanica,,Louisville,Kentucky,,1404,0.0
Quercus shumardii,,Orlando,Florida,,1404,0.0
Washingtonia robusta,,Orlando,Florida,,1384,0.0
Sabal palmetto,,Tampa,Florida,,1381,77.63019128869048
Magnolia grandiflora,,Oakland,California,,1375,0.0
Pyrus calleryana,,Overland Park,Kansas,,1357,0.0
Fraxinus pennsylvanica,,Milwaukee,Wisconsin,,1356,0.0
Pinus canariensis,,Huntington Beach,California,,1352,28.68793674556213
Acer saccharum,,Worcester,Massachusetts,,1346,0.0
Pistacia chinensis,,Ontario,California,,1343,0.0
Other,,Newton,Iowa,,1338,0.0
Malus,,Pittsburgh,Pennsylvania,,1311,32.37196962103635
Picea pungens,,Sioux Falls,South Dakota,,1290,90.61985274418605
Prosopis chilensis,,Las Vegas,Nevada,,1280,0.0
Populus,,Detroit,Michigan,,1276,0.0
Acer saccharum,,Sioux Falls,South Dakota,,1274,109.69182087912087
Acer rubrum,,Atlanta,Georgia,,1263,0.0
Quercus nuttallii,,Atlanta,Georgia,,1261,0.0
Carya illinoinensis,,Plano,Texas,,1246,0.0
Quercus virginiana,,Dallas,Texas,,1238,0.0
Pinus elliottii,,Tampa,Florida,,1236,131.66048040034812
Pyrus calleryana,,Huntington Beach,California,,1233,19.60787506893755
Quercus alba,,Atlanta,Georgia,,1225,0.0
Schinus molle,,Ontario,California,,1224,0.0
Ginkgo biloba,,Pittsburgh,Pennsylvania,,1218,69.82335419087137
Acer saccharinum,,Overland Park,Kansas,,1213,0.0
Fraxinus,,Plano,Texas,,1208,0.0
Lagerstroemia indica,,Arlington,Texas,,1195,0.0
Zelkova serrata,,Providence,Rhode Island,,1193,0.0
Acer rubrum,,Detroit,Michigan,,1183,0.0
Other,,Albuquerque,New Mexico,,1164,7201.356732908211
Nyssa sylvatica,,Atlanta,Georgia,,1151,0.0
Pistacia chinensis,,Oakland,California,,1150,0.0
Quercus shumardii,,Arlington,Texas,,1139,0.0
Fraxinus angustifolia,,Las Vegas,Nevada,,1135,0.0
Quercus laurifolia,,Tampa,Florida,,1099,122.48152502297702
Other,,Decatur,Georgia,,1099,0.0
Celtis occidentalis,,Louisville,Kentucky,,1086,0.0
Malus,,Sioux Falls,South Dakota,,1085,52.45413039631337
Other,,Austin,Texas,,1083,5922.140017815493
Quercus virginiana,,Arlington,Texas,,1081,0.0
Chitalpa tashkentensis,,Las Vegas,Nevada,,1050,0.0
Pinus canariensis,,Garden Grove,California,,1049,245.09344766444235
Cornus florida,,Atlanta,Georgia,,1041,0.0
Acer rubrum,,Worcester,Massachusetts,,1029,0.0
Acer buergerianum,,Durham,North Carolina,,1027,17.830652173913045
Chilopsis linearis,,Las Vegas,Nevada,,1020,0.0
Acer saccharinum,,Rochester,New York,,1013,0.0
Washingtonia robusta,,Tampa,Florida,,1007,127.97595785858586
Liriodendron tulipifera,,Louisville,Kentucky,,997,0.0
Tilia cordata,,Providence,Rhode Island,,986,0.0
Adonidia merrillii,,Kailua,Hawaii,,983,30.64564891149542
Ulmus,,Detroit,Michigan,,981,0.0
Cocos nucifera,,Kailua,Hawaii,,981,128.29704567901234
Platanus acerifolia,,Detroit,Michigan,,980,0.0
Quercus rubra,,Pittsburgh,Pennsylvania,,978,78.23644863868986
Acer platanoides,,Watertown,Wisconsin,,976,0.0
Acer L.,,Oakland,California,,971,0.0
Gleditsia triacanthos,,Overland Park,Kansas,,964,0.0
Acer saccharinum,,Colorado Springs,Colorado,,952,0.0
Phoenix dactylifera,,Las Vegas,Nevada,,941,0.0
Carya illinoinensis,,Austin,Texas,,916,138.59758148471616
Acer platanoides,,Milwaukee,Wisconsin,,912,0.0
Quercus laurifolia,,Cape Coral,Florida,,903,0.0
Tilia cordata,,Overland Park,Kansas,,900,0.0
Syagrus romanzoffianum,,Garden Grove,California,,897,81.28948606465998
Picea pungens,,Colorado Springs,Colorado,,888,0.0
Other,,Kaneohe,Hawaii,,881,7116.9397395651495
Other,,Dallas,Texas,,863,0.0
Prunus caroliniana,,Tampa,Florida,,855,60.66801764047936
Celtis occidentalis,,Detroit,Michigan,,852,0.0
Carpinus caroliniana,,Atlanta,Georgia,,851,0.0
Ulmus crassifolia,,Dallas,Texas,,844,0.0
Ulmus pumila,,Colorado Springs,Colorado,,841,0.0
Acer saccharum,,Milwaukee,Wisconsin,,840,0.0
Liquidambar styraciflua,,Louisville,Kentucky,,834,0.0
Ulmus crassifolia,,Austin,Texas,,831,82.08416900120338
Pistacia chinensis,,Plano,Texas,,822,0.0
Syagrus romanzoffianum,,Cape Coral,Florida,,817,0.0
Pyrus calleryana,,Plano,Texas,,815,0.0
Quercus rubra,,Louisville,Kentucky,,805,0.0
Platanus occidentalis,,Louisville,Kentucky,,802,0.0
Quercus virginiana,,Austin,Texas,,790,84.0601043544304
Fraxinus americana,,Louisville,Kentucky,,773,0.0
Quercus shumardii,,Dallas,Texas,,761,0.0
Other,,Nashville,Tennessee,,757,0.0
Cedrus deodara,,Fresno,California,,749,0.0
